userid,pagetype,member_tier,log_in_status,page_duration,start_time
39,Register,NULL,N,15,11/1/2019 4:14
3c,Product,NULL,N,60,11/1/2019 4:22
99,Homepage,NULL,N,60,11/1/2019 4:40
99,Homepage,NULL,N,60,11/1/2019 4:40
99,Product,NULL,N,60,11/1/2019 4:40
6f,SearchResult,NULL,N,600,11/1/2019 4:44
6,Homepage,Elite,Y,40,11/1/2019 4:48
6,Product,NULL,N,606.3333333,11/1/2019 4:48
6f,Product,NULL,N,120,11/1/2019 5:04
6f,Other,NULL,N,455,11/1/2019 5:05
85,Product,NULL,N,330,11/1/2019 5:08
82,Homepage,NULL,N,30,11/1/2019 5:11
82,Checkout,NULL,N,45,11/1/2019 5:13
92,Category,NULL,N,1600,11/1/2019 5:32
ab,Category,NULL,N,60,11/1/2019 5:36
a5,Checkout,Base,Y,218.5714286,11/1/2019 5:37
a5,Homepage,NULL,N,30,11/1/2019 5:38
a5,Homepage,NULL,N,35,11/1/2019 5:39
a5,Product,NULL,N,60,11/1/2019 5:39
a5,Homepage,NULL,N,100,11/1/2019 5:40
a5,MyAccount,NULL,N,115,11/1/2019 5:40
a5,Product,NULL,N,60,11/1/2019 5:40
a5,Other,NULL,N,60,11/1/2019 5:40
a5,Category,NULL,N,30,11/1/2019 5:41
a5,Product,NULL,N,60,11/1/2019 5:42
a5,Other,NULL,N,480,11/1/2019 5:42
a5,Product,NULL,N,120,11/1/2019 5:43
a5,Product,NULL,N,60,11/1/2019 5:45
c5,Other,NULL,N,60,11/1/2019 6:03
c5,Other,NULL,N,1135,11/1/2019 6:03
8e,Product,NULL,N,-60,11/1/2019 6:05
14,Other,NULL,N,60,11/1/2019 6:07
72,Product,NULL,N,90,11/1/2019 6:20
72,Other,NULL,N,60,11/1/2019 6:22
8c,Other,NULL,N,210,11/1/2019 6:24
c4,Homepage,Base,Y,270,11/1/2019 6:25
c4,Product,NULL,N,60,11/1/2019 6:27
47,Product,NULL,N,60,11/1/2019 6:35
8e,Checkout,NULL,N,12,11/1/2019 6:38
6f,Category,NULL,N,120,11/1/2019 6:43
aa,Category,NULL,N,1602,11/1/2019 6:46
b4,Other,Base,Y,195,11/1/2019 6:48
b4,Product,NULL,N,210,11/1/2019 6:49
b4,Product,NULL,N,30,11/1/2019 6:49
b4,Homepage,NULL,N,60,11/1/2019 6:49
b4,Other,NULL,N,30,11/1/2019 6:49
b4,Product,NULL,N,60,11/1/2019 6:49
72,Product,NULL,N,80,11/1/2019 6:50
b4,Other,Base,Y,42,11/1/2019 6:50
b4,MyAccount,Base,Y,84,11/1/2019 6:50
b4,Other,NULL,N,60,11/1/2019 6:50
b4,Category,NULL,N,174,11/1/2019 6:50
b4,Category,Base,Y,72,11/1/2019 6:50
c2,Other,NULL,N,304,11/1/2019 6:51
c2,Other,NULL,N,70,11/1/2019 6:51
c2,Homepage,NULL,N,30,11/1/2019 6:52
c2,Category,Base,Y,110,11/1/2019 6:52
c2,Category,NULL,N,240,11/1/2019 6:52
5e,Other,NULL,N,90,11/1/2019 6:57
5e,Other,NULL,N,60,11/1/2019 6:58
fb,Category,NULL,N,150,11/1/2019 7:05
fb,Product,NULL,N,60,11/1/2019 7:05
fb,Homepage,NULL,N,180,11/1/2019 7:05
fb,Other,Base,Y,563,11/1/2019 7:05
fb,Product,Base,Y,211,11/1/2019 7:05
fb,Homepage,NULL,N,90,11/1/2019 7:05
8b,Other,NULL,N,180,11/1/2019 7:09
8b,Category,NULL,N,120,11/1/2019 7:11
2a,Other,NULL,N,120,11/1/2019 7:16
25,Homepage,NULL,N,60,11/1/2019 7:23
6d,Product,NULL,N,840,11/1/2019 7:30
85,Other,NULL,N,60,11/1/2019 7:39
81,Product,NULL,N,60,11/1/2019 7:41
ba,Other,NULL,N,60,11/1/2019 7:41
23,Product,NULL,N,60,11/1/2019 7:48
98,Other,NULL,N,60,11/1/2019 7:48
98,MyAccount,Base,Y,135,11/1/2019 7:48
98,Category,NULL,N,90,11/1/2019 7:48
98,Product,NULL,N,30,11/1/2019 7:48
98,Product,NULL,N,20,11/1/2019 7:48
98,Product,NULL,N,60,11/1/2019 7:49
98,Product,NULL,N,60,11/1/2019 7:49
98,Other,NULL,N,180,11/1/2019 7:49
98,BlogContent,NULL,N,60,11/1/2019 7:49
98,Other,NULL,N,300,11/1/2019 7:49
3c,SearchResult,NULL,N,60,11/1/2019 7:50
98,Other,NULL,N,60,11/1/2019 7:50
98,Category,NULL,N,60,11/1/2019 7:53
98,Other,NULL,N,135,11/1/2019 7:53
98,Other,NULL,N,60,11/1/2019 7:53
2b,Homepage,NULL,N,40,11/1/2019 7:54
98,Product,NULL,N,100,11/1/2019 7:54
98,Category,NULL,N,150,11/1/2019 7:54
99,BlogContent,NULL,N,60,11/1/2019 7:54
99,Category,NULL,N,60,11/1/2019 7:54
99,Other,NULL,N,240,11/1/2019 7:54
e4,Product,NULL,N,180,11/1/2019 7:54
2b,Product,NULL,N,60,11/1/2019 7:55
99,Product,NULL,N,60,11/1/2019 7:55
99,Other,NULL,N,60,11/1/2019 7:55
99,Product,NULL,N,120,11/1/2019 7:55
99,Product,Base,Y,15,11/1/2019 7:55
99,Product,NULL,N,180,11/1/2019 7:55
a1,Homepage,NULL,N,60,11/1/2019 7:55
af,Other,NULL,N,120,11/1/2019 7:55
a5,Homepage,NULL,N,60,11/1/2019 8:00
2d,Category,NULL,N,60,11/1/2019 8:05
2d,Other,NULL,N,970,11/1/2019 8:05
2d,Category,NULL,N,60,11/1/2019 8:06
2d,Product,NULL,N,60,11/1/2019 8:06
2d,SearchResult,NULL,N,120,11/1/2019 8:06
2c,Other,NULL,N,225,11/1/2019 8:08
99,Register,NULL,N,5.454545455,11/1/2019 8:12
99,Homepage,NULL,N,11.45454545,11/1/2019 8:12
99,Checkout,NULL,N,45,11/1/2019 8:12
5e,Product,NULL,N,60,11/1/2019 8:19
d0,Homepage,NULL,N,180,11/1/2019 8:24
af,Category,NULL,N,60,11/1/2019 8:25
d0,Checkout,NULL,N,60,11/1/2019 8:26
b4,Product,NULL,N,120,11/1/2019 8:27
2d,Other,NULL,N,60,11/1/2019 8:31
c2,Other,NULL,N,60,11/1/2019 8:32
df,Other,NULL,N,30,11/1/2019 8:34
c4,Other,NULL,N,90,11/1/2019 8:35
2b,Product,NULL,N,60,11/1/2019 8:36
c4,Product,NULL,N,60,11/1/2019 8:36
2b,Other,NULL,N,120,11/1/2019 8:37
9f,Product,NULL,N,60,11/1/2019 8:38
9f,Homepage,NULL,N,120,11/1/2019 8:38
9f,Other,Base,Y,140,11/1/2019 8:39
a0,Category,NULL,N,30,11/1/2019 8:39
a0,Other,NULL,N,60,11/1/2019 8:39
38,Category,NULL,N,40,11/1/2019 8:44
b4,Product,NULL,N,250,11/1/2019 8:44
d0,Category,NULL,N,60,11/1/2019 8:50
f2,Product,NULL,N,60,11/1/2019 8:50
3b,Product,NULL,N,60,11/1/2019 8:51
d0,Product,NULL,N,30,11/1/2019 8:51
d0,Other,NULL,N,120,11/1/2019 8:51
d0,Other,NULL,N,60,11/1/2019 8:51
d0,Category,NULL,N,150,11/1/2019 8:52
d0,Other,NULL,N,60,11/1/2019 8:52
d7,Category,Base,Y,402,11/1/2019 8:52
d0,Other,NULL,N,90,11/1/2019 8:54
d0,Checkout,NULL,N,65,11/1/2019 8:54
d0,Other,NULL,N,55,11/1/2019 8:54
d0,Product,NULL,N,60,11/1/2019 8:54
2e,Other,NULL,N,30,11/1/2019 8:55
d0,Other,NULL,N,60,11/1/2019 8:55
d0,Register,NULL,N,60,11/1/2019 8:55
d0,Other,NULL,N,45,11/1/2019 8:55
d0,Other,NULL,N,60,11/1/2019 8:55
ff,SearchResult,NULL,N,60,11/1/2019 8:56
8f,Product,NULL,N,60,11/1/2019 9:00
85,MyAccount,Base,Y,115,11/1/2019 9:02
85,Register,Base,Y,10,11/1/2019 9:04
c2,SearchResult,NULL,N,60,11/1/2019 9:06
f9,Product,NULL,N,60,11/1/2019 9:06
fb,Product,NULL,N,60,11/1/2019 9:06
c2,Category,NULL,N,885,11/1/2019 9:07
c2,SearchResult,NULL,N,40,11/1/2019 9:07
de,Homepage,NULL,N,184,11/1/2019 9:07
fb,Product,NULL,N,2100,11/1/2019 9:07
c2,Other,NULL,N,108,11/1/2019 9:09
ed,Other,NULL,N,90,11/1/2019 9:12
7a,Checkout,NULL,N,30,11/1/2019 9:14
7a,Category,NULL,N,120,11/1/2019 9:14
ed,BlogContent,NULL,N,20,11/1/2019 9:14
b9,Category,NULL,N,20,11/1/2019 9:17
71,Loyalty,NULL,N,30,11/1/2019 9:19
84,Product,NULL,N,60,11/1/2019 9:19
2e,Category,NULL,N,120,11/1/2019 9:26
f6,Other,NULL,N,60,11/1/2019 9:28
f6,Category,NULL,N,60,11/1/2019 9:28
1e,Other,NULL,N,10,11/1/2019 9:31
1e,SearchResult,NULL,N,60,11/1/2019 9:34
85,Category,NULL,N,60,11/1/2019 9:38
85,Product,NULL,N,60,11/1/2019 9:38
7,Other,NULL,N,110,11/1/2019 9:39
6,Product,NULL,N,49.28571429,11/1/2019 9:41
7,Homepage,NULL,N,90,11/1/2019 9:41
85,Product,Base,Y,680.5714286,11/1/2019 9:41
10,Other,NULL,N,60,11/1/2019 9:43
7e,Product,NULL,N,2280,11/1/2019 9:49
1e,Product,NULL,N,60,11/1/2019 9:52
b7,Other,NULL,Y,20,11/1/2019 9:52
23,Other,NULL,N,60,11/1/2019 9:53
7b,Other,NULL,N,60,11/1/2019 9:56
ee,SearchResult,NULL,N,60,11/1/2019 9:56
20,Product,NULL,N,120,11/1/2019 9:58
20,Other,NULL,N,60,11/1/2019 9:58
e0,SearchResult,NULL,N,120,11/1/2019 9:59
20,Other,NULL,N,105,11/1/2019 10:00
3d,Product,NULL,N,20,11/1/2019 10:00
9a,Homepage,NULL,N,80,11/1/2019 10:00
cd,Product,NULL,N,1200,11/1/2019 10:00
0f,Product,NULL,N,60,11/1/2019 10:03
0f,Other,NULL,N,120,11/1/2019 10:04
11,Other,NULL,N,60,11/1/2019 10:04
8e,Other,NULL,N,120,11/1/2019 10:04
64,Other,NULL,N,540,11/1/2019 10:05
12,Category,NULL,N,30,11/1/2019 10:08
64,Product,NULL,N,30,11/1/2019 10:08
64,Other,NULL,N,90,11/1/2019 10:08
f2,Cart,NULL,N,187.5,11/1/2019 10:08
12,Product,NULL,N,210,11/1/2019 10:09
64,Product,NULL,N,120,11/1/2019 10:09
64,Product,Base,Y,155,11/1/2019 10:09
f2,Product,NULL,N,300,11/1/2019 10:10
65,Product,NULL,N,180,11/1/2019 10:11
65,Product,NULL,N,20,11/1/2019 10:11
42,Product,NULL,N,120,11/1/2019 10:12
12,Category,NULL,N,420,11/1/2019 10:13
12,Product,NULL,N,60,11/1/2019 10:14
65,Other,NULL,N,30,11/1/2019 10:15
65,Homepage,NULL,N,90,11/1/2019 10:15
65,Other,NULL,N,60,11/1/2019 10:16
65,Other,Base,Y,2869,11/1/2019 10:16
a5,Homepage,NULL,N,60,11/1/2019 10:16
3b,Product,NULL,N,60,11/1/2019 10:17
a5,Category,NULL,N,180,11/1/2019 10:17
a6,Category,NULL,N,20,11/1/2019 10:17
27,Other,Base,Y,198,11/1/2019 10:18
27,Product,NULL,N,480,11/1/2019 10:18
65,Product,NULL,N,1350,11/1/2019 10:18
65,Other,NULL,N,60,11/1/2019 10:18
65,Other,NULL,N,60,11/1/2019 10:18
a6,Category,NULL,N,526,11/1/2019 10:18
a6,Other,NULL,N,60,11/1/2019 10:18
a1,Product,NULL,N,120,11/1/2019 10:19
1e,Category,NULL,N,60,11/1/2019 10:20
a1,Homepage,Base,Y,20,11/1/2019 10:20
