userid,pagetype,member_tier,log_in_status,page_duration,start_time
7d,Other,NULL,N,60,11/1/2019 20:56
7d,Loyalty,NULL,N,900,11/1/2019 20:56
7c,Product,NULL,N,60,11/1/2019 20:57
7c,Product,NULL,N,195,11/1/2019 20:57
74,Product,NULL,N,60,11/1/2019 20:58
74,Other,NULL,N,60,11/1/2019 20:58
72,Category,NULL,N,150,11/1/2019 20:59
40,Product,NULL,N,140,11/1/2019 21:00
e1,Homepage,NULL,N,60,11/1/2019 21:00
e1,Register,NULL,N,12,11/1/2019 21:00
e1,Product,NULL,N,30,11/1/2019 21:01
e1,Product,Base,Y,30,11/1/2019 21:02
7c,MyAccount,NULL,N,90,11/1/2019 21:03
e1,Category,Base,Y,24,11/1/2019 21:03
e1,Category,NULL,N,60,11/1/2019 21:04
e1,Other,NULL,N,120,11/1/2019 21:04
e1,Homepage,NULL,N,60,11/1/2019 21:04
7c,Other,NULL,N,60,11/1/2019 21:05
7c,Homepage,NULL,N,60,11/1/2019 21:05
e1,Product,NULL,N,60,11/1/2019 21:05
e1,Other,NULL,N,60,11/1/2019 21:05
e1,Other,NULL,N,60,11/1/2019 21:05
e1,Product,NULL,N,60,11/1/2019 21:05
e1,Homepage,NULL,N,30,11/1/2019 21:05
32,Product,NULL,N,90,11/1/2019 21:06
32,Other,NULL,N,60,11/1/2019 21:06
32,Other,NULL,N,80,11/1/2019 21:06
32,Category,NULL,N,120,11/1/2019 21:06
7c,Other,NULL,N,315,11/1/2019 21:06
aa,Product,NULL,N,60,11/1/2019 21:06
aa,Other,NULL,N,60,11/1/2019 21:06
32,Product,NULL,N,120,11/1/2019 21:07
7c,Category,NULL,N,90,11/1/2019 21:07
aa,Other,NULL,N,190,11/1/2019 21:07
ff,Category,NULL,N,120,11/1/2019 21:07
7c,Other,NULL,N,60,11/1/2019 21:08
aa,Product,NULL,N,60,11/1/2019 21:08
aa,Product,NULL,N,60,11/1/2019 21:08
0,Other,NULL,N,2,11/1/2019 21:09
aa,Other,NULL,N,105,11/1/2019 21:09
0,Category,NULL,N,5,11/1/2019 21:10
0,Product,NULL,N,4,11/1/2019 21:10
7c,SearchResult,NULL,N,60,11/1/2019 21:10
0,Product,NULL,N,8,11/1/2019 21:11
0,Homepage,NULL,N,10,11/1/2019 21:11
0,SearchResult,NULL,N,5,11/1/2019 21:12
7c,Category,NULL,N,60,11/1/2019 21:12
7e,Product,NULL,N,180,11/1/2019 21:12
7c,Other,NULL,N,30,11/1/2019 21:13
0,Product,NULL,N,5,11/1/2019 21:14
34,Category,NULL,N,870,11/1/2019 21:14
7c,Other,NULL,N,60,11/1/2019 21:14
ad,Register,NULL,N,70,11/1/2019 21:14
7c,Other,NULL,N,20,11/1/2019 21:15
ad,Checkout,NULL,N,1506,11/1/2019 21:15
bd,Product,NULL,N,60,11/1/2019 21:15
7c,Cart,Base,Y,100,11/1/2019 21:16
ec,Category,NULL,N,30,11/1/2019 21:18
6f,Other,NULL,Y,30,11/1/2019 21:19
7c,Homepage,NULL,N,60,11/1/2019 21:19
7c,Other,Base,Y,300,11/1/2019 21:19
b5,Product,NULL,N,120,11/1/2019 21:20
b5,Checkout,NULL,N,20,11/1/2019 21:20
b5,Category,NULL,N,20,11/1/2019 21:20
b5,Homepage,NULL,N,60,11/1/2019 21:20
e0,Product,NULL,N,30,11/1/2019 21:20
7c,Other,NULL,Y,360,11/1/2019 21:21
f7,Other,NULL,N,89.5,11/1/2019 21:24
f7,Product,NULL,N,80,11/1/2019 21:25
f7,Register,NULL,N,15,11/1/2019 21:25
f7,Category,NULL,N,40,11/1/2019 21:25
7c,Other,NULL,N,60,11/1/2019 21:26
b9,SearchResult,NULL,N,90,11/1/2019 21:26
9,Product,NULL,N,600,11/1/2019 21:27
b2,Other,NULL,N,140,11/1/2019 21:28
b2,SearchResult,NULL,N,60,11/1/2019 21:28
b2,Product,NULL,N,60,11/1/2019 21:28
b2,Product,NULL,N,60,11/1/2019 21:28
b2,Product,NULL,N,60,11/1/2019 21:28
87,Other,NULL,N,60,11/1/2019 21:29
f7,Product,NULL,N,30,11/1/2019 21:29
f7,Product,NULL,N,120,11/1/2019 21:29
f7,Product,NULL,N,510,11/1/2019 21:29
f8,Category,NULL,N,180,11/1/2019 21:29
f8,Category,NULL,N,30,11/1/2019 21:30
f8,Product,NULL,N,240,11/1/2019 21:30
77,Category,NULL,N,60,11/1/2019 21:33
f6,Category,NULL,N,120,11/1/2019 21:33
77,Homepage,NULL,N,95,11/1/2019 21:34
f6,Homepage,Base,Y,60,11/1/2019 21:34
7b,Product,NULL,N,135,11/1/2019 21:35
f6,Category,NULL,N,210,11/1/2019 21:35
77,Product,NULL,N,60,11/1/2019 21:37
a8,Homepage,NULL,N,60,11/1/2019 21:37
27,Product,NULL,N,60,11/1/2019 21:38
82,Other,NULL,N,60,11/1/2019 21:39
82,Category,NULL,N,40,11/1/2019 21:39
f6,Category,NULL,N,60,11/1/2019 21:39
b2,Product,NULL,N,60,11/1/2019 21:40
b2,Other,NULL,N,60,11/1/2019 21:40
b2,Other,NULL,N,180,11/1/2019 21:40
c9,Product,NULL,N,15,11/1/2019 21:40
b2,Product,NULL,N,60,11/1/2019 21:41
b2,Other,NULL,N,60,11/1/2019 21:41
ba,Product,NULL,N,300,11/1/2019 21:41
0e,Other,NULL,N,60,11/1/2019 21:42
1b,Other,NULL,N,60,11/1/2019 21:45
1b,Product,NULL,N,60,11/1/2019 21:46
1b,Other,NULL,N,130,11/1/2019 21:46
6b,Category,NULL,N,360,11/1/2019 21:46
cd,Homepage,NULL,N,90,11/1/2019 21:46
42,Product,NULL,N,60,11/1/2019 21:47
b2,SearchResult,NULL,N,60,11/1/2019 21:50
b4,Homepage,Base,Y,140,11/1/2019 21:50
b4,Other,NULL,N,60,11/1/2019 21:50
b4,Product,Base,Y,60,11/1/2019 21:50
b2,Product,NULL,N,60,11/1/2019 21:51
b2,Other,NULL,N,120,11/1/2019 21:51
b4,Product,NULL,N,60,11/1/2019 21:51
b4,MyAccount,NULL,N,325,11/1/2019 21:51
b4,Other,NULL,N,60,11/1/2019 21:51
b4,Other,NULL,N,60,11/1/2019 21:51
52,Product,NULL,N,45,11/1/2019 21:52
b2,Category,NULL,N,60,11/1/2019 21:52
b2,Category,NULL,N,105,11/1/2019 21:52
b2,Category,NULL,N,120,11/1/2019 21:52
c2,Homepage,Base,Y,20,11/1/2019 21:52
ec,Product,NULL,N,210,11/1/2019 21:52
c6,Other,NULL,N,60,11/1/2019 21:54
48,Register,Base,Y,100,11/1/2019 21:55
a9,Checkout,Base,Y,80,11/1/2019 21:56
c8,Category,NULL,N,30,11/1/2019 21:56
c8,Homepage,NULL,N,30,11/1/2019 21:56
59,Product,NULL,N,120,11/1/2019 21:57
c8,Checkout,NULL,N,20,11/1/2019 21:58
27,Other,NULL,N,60,11/1/2019 21:59
58,Other,NULL,N,60,11/1/2019 21:59
c8,Other,NULL,N,180,11/1/2019 21:59
c8,SearchResult,NULL,N,60,11/1/2019 22:00
58,Category,NULL,N,60,11/1/2019 22:01
c8,Other,NULL,N,60,11/1/2019 22:01
c8,Homepage,Base,Y,125,11/1/2019 22:01
c9,Product,NULL,N,60,11/1/2019 22:01
c9,Product,NULL,N,60,11/1/2019 22:01
c9,Product,NULL,N,60,11/1/2019 22:01
c9,Other,NULL,N,140,11/1/2019 22:02
c9,Cart,Base,Y,210,11/1/2019 22:02
c9,Category,Base,Y,30,11/1/2019 22:02
c9,Category,NULL,N,120,11/1/2019 22:02
4a,Product,NULL,N,60,11/1/2019 22:04
f8,Other,NULL,N,320,11/1/2019 22:04
f8,Product,NULL,N,120,11/1/2019 22:04
1c,MyAccount,Base,Y,24,11/1/2019 22:05
1c,Other,NULL,N,60,11/1/2019 22:05
1c,MyAccount,Base,Y,1975,11/1/2019 22:05
1c,Homepage,NULL,N,60,11/1/2019 22:05
1c,Category,NULL,N,20,11/1/2019 22:05
f8,Other,NULL,N,60,11/1/2019 22:05
f8,Category,NULL,N,280,11/1/2019 22:05
f8,Register,NULL,N,425,11/1/2019 22:05
f8,Product,NULL,N,95,11/1/2019 22:05
10,Category,NULL,N,120,11/1/2019 22:06
1c,Homepage,NULL,N,100,11/1/2019 22:06
1c,Homepage,NULL,N,30,11/1/2019 22:06
1c,Other,NULL,N,30,11/1/2019 22:06
ee,Other,NULL,N,20,11/1/2019 22:06
ee,Product,NULL,N,60,11/1/2019 22:06
ee,Product,NULL,N,60,11/1/2019 22:06
f8,Other,NULL,N,60,11/1/2019 22:06
1c,Other,NULL,N,140,11/1/2019 22:07
1c,Cart,Base,Y,175,11/1/2019 22:07
b8,Product,NULL,N,60,11/1/2019 22:07
f8,Loyalty,NULL,N,30,11/1/2019 22:07
f8,Category,NULL,N,270,11/1/2019 22:07
f8,Category,NULL,N,60,11/1/2019 22:07
72,Other,NULL,N,60,11/1/2019 22:08
ab,Homepage,NULL,N,60,11/1/2019 22:08
ac,Product,NULL,N,60,11/1/2019 22:08
b8,Product,NULL,N,30,11/1/2019 22:08
b8,Product,NULL,N,-60,11/1/2019 22:08
b8,Other,Base,Y,210,11/1/2019 22:08
b8,Other,NULL,N,60,11/1/2019 22:08
be,Homepage,Base,Y,30,11/1/2019 22:08
f8,Homepage,NULL,N,60,11/1/2019 22:08
ac,Homepage,NULL,N,30,11/1/2019 22:09
ac,Product,NULL,N,30,11/1/2019 22:09
b8,Product,NULL,N,60,11/1/2019 22:09
b8,Other,NULL,N,60,11/1/2019 22:09
b8,Product,NULL,N,240,11/1/2019 22:09
b8,Category,Base,Y,309,11/1/2019 22:09
b8,SearchResult,NULL,N,60,11/1/2019 22:09
bb,Product,NULL,N,90,11/1/2019 22:09
bb,Category,NULL,N,1360,11/1/2019 22:09
bb,Category,NULL,N,60,11/1/2019 22:09
bb,Category,NULL,N,60,11/1/2019 22:09
f8,Homepage,NULL,N,30,11/1/2019 22:09
ac,Product,NULL,N,60,11/1/2019 22:10
b8,Product,Base,Y,60,11/1/2019 22:10
b8,Other,NULL,N,30,11/1/2019 22:10
20,Other,NULL,N,2520,11/1/2019 22:11
ac,Category,NULL,N,60,11/1/2019 22:11
ac,Category,NULL,N,60,11/1/2019 22:11
ac,Other,Base,Y,140,11/1/2019 22:11
b8,Other,NULL,N,60,11/1/2019 22:11
b8,Product,NULL,N,82,11/1/2019 22:11
f2,Homepage,NULL,N,120,11/1/2019 22:11
20,Product,NULL,N,60,11/1/2019 22:12
ac,Other,NULL,N,240,11/1/2019 22:12
ac,Homepage,NULL,N,60,11/1/2019 22:12
b9,Cart,Base,Y,105,11/1/2019 22:12
b9,Product,NULL,N,30,11/1/2019 22:12
b9,Product,NULL,N,120,11/1/2019 22:12
20,Homepage,NULL,N,20,11/1/2019 22:13
20,Product,NULL,N,60,11/1/2019 22:13
7b,Homepage,NULL,N,40,11/1/2019 22:13
96,Register,Base,Y,450,11/1/2019 22:13
f8,Other,NULL,N,30,11/1/2019 22:15
20,Register,Base,Y,100,11/1/2019 22:16
48,Product,NULL,N,60,11/1/2019 22:16
85,Other,NULL,N,60,11/1/2019 22:16
f8,Product,NULL,N,160,11/1/2019 22:16
f8,Other,NULL,N,30,11/1/2019 22:16
53,Checkout,Base,Y,1055,11/1/2019 22:17
66,Product,NULL,N,210,11/1/2019 22:17
7f,Other,NULL,N,180,11/1/2019 22:17
85,Category,NULL,N,20,11/1/2019 22:17
85,Product,NULL,N,15,11/1/2019 22:17
f8,Homepage,NULL,N,30,11/1/2019 22:17
66,Other,NULL,N,120,11/1/2019 22:18
f8,Homepage,NULL,N,60,11/1/2019 22:18
f8,Product,NULL,N,120,11/1/2019 22:18
f8,Category,NULL,Y,434,11/1/2019 22:18
20,Other,NULL,N,60,11/1/2019 22:19
bb,Product,NULL,N,170,11/1/2019 22:19
20,Other,NULL,N,60,11/1/2019 22:20
a8,Category,NULL,N,360,11/1/2019 22:20
ac,Other,Base,Y,437,11/1/2019 22:20
ac,Checkout,Base,Y,1477,11/1/2019 22:20
f8,Other,NULL,N,64.28571429,11/1/2019 22:20
ac,Product,NULL,N,110,11/1/2019 22:21
f9,Homepage,NULL,N,7.5,11/1/2019 22:21
f9,Homepage,Base,Y,316,11/1/2019 22:21
20,Other,NULL,N,100,11/1/2019 22:22
ac,Product,NULL,N,60,11/1/2019 22:22
ac,Other,NULL,N,60,11/1/2019 22:22
ac,Homepage,NULL,N,30,11/1/2019 22:22
ac,Homepage,NULL,N,120,11/1/2019 22:22
f9,Other,NULL,N,30,11/1/2019 22:22
f9,Other,Base,Y,137,11/1/2019 22:22
96,Category,NULL,N,244.2857143,11/1/2019 22:23
9,Category,NULL,N,105,11/1/2019 22:24
3c,Product,NULL,N,60,11/1/2019 22:24
45,Other,NULL,N,170,11/1/2019 22:24
9,Product,NULL,N,130,11/1/2019 22:25
9,Other,NULL,N,60,11/1/2019 22:25
9,Product,NULL,N,12,11/1/2019 22:25
3c,Product,NULL,N,120,11/1/2019 22:25
ae,Category,NULL,N,50,11/1/2019 22:25
20,Category,NULL,N,104,11/1/2019 22:26
20,Homepage,NULL,Y,222.7142857,11/1/2019 22:26
20,Product,NULL,N,60,11/1/2019 22:27
20,Product,NULL,N,137.1428571,11/1/2019 22:27
20,Other,NULL,N,64.28571429,11/1/2019 22:27
a4,Other,NULL,N,60,11/1/2019 22:27
20,Other,NULL,N,60,11/1/2019 22:28
a4,Checkout,NULL,N,15,11/1/2019 22:28
a4,SearchResult,NULL,N,60,11/1/2019 22:28
a4,Homepage,NULL,N,505.7142857,11/1/2019 22:29
3c,Product,NULL,N,60,11/1/2019 22:30
88,Homepage,Base,Y,135,11/1/2019 22:30
88,Loyalty,Base,Y,20,11/1/2019 22:30
a5,Homepage,NULL,N,210,11/1/2019 22:30
a5,Other,NULL,N,60,11/1/2019 22:30
3c,Product,NULL,N,60,11/1/2019 22:31
11,Product,NULL,N,20,11/1/2019 22:32
3c,Category,NULL,N,60,11/1/2019 22:33
3c,Other,NULL,N,60,11/1/2019 22:34
3c,Checkout,Base,Y,270,11/1/2019 22:34
7d,Category,NULL,N,30,11/1/2019 22:36
14,Other,NULL,N,60,11/1/2019 22:37
a5,Product,NULL,N,60,11/1/2019 22:37
96,Other,NULL,N,60,11/1/2019 22:38
ff,Product,NULL,N,60,11/1/2019 22:38
96,Other,NULL,N,60,11/1/2019 22:39
96,Product,NULL,N,60,11/1/2019 22:39
96,Category,NULL,N,60,11/1/2019 22:39
24,Checkout,NULL,N,15,11/1/2019 22:40
24,Product,NULL,N,1080,11/1/2019 22:40
71,Other,NULL,N,120,11/1/2019 22:40
71,Homepage,Base,Y,30,11/1/2019 22:40
96,Register,NULL,N,30,11/1/2019 22:40
b9,Other,NULL,N,1513.333333,11/1/2019 22:41
41,Category,NULL,N,60,11/1/2019 22:43
c5,Product,NULL,N,90,11/1/2019 22:43
ee,Other,NULL,N,60,11/1/2019 22:43
24,SearchResult,NULL,N,15,11/1/2019 22:44
8d,Product,NULL,N,60,11/1/2019 22:44
24,Category,NULL,N,60,11/1/2019 22:45
d2,Checkout,Base,Y,150,11/1/2019 22:45
81,Other,NULL,N,60,11/1/2019 22:46
8,BlogContent,NULL,N,40,11/1/2019 22:47
8,Category,NULL,N,450,11/1/2019 22:47
8,Other,NULL,N,60,11/1/2019 22:47
24,Checkout,Base,Y,360,11/1/2019 22:47
24,Category,NULL,N,60,11/1/2019 22:47
14,Product,NULL,N,120,11/1/2019 22:48
1e,Product,NULL,N,120,11/1/2019 22:48
9f,Other,NULL,N,180,11/1/2019 22:48
24,Other,NULL,N,60,11/1/2019 22:49
9f,SearchResult,NULL,N,60,11/1/2019 22:49
14,Product,NULL,N,80,11/1/2019 22:50
14,Category,NULL,N,60,11/1/2019 22:50
15,Product,NULL,N,120,11/1/2019 22:50
64,Product,NULL,N,60,11/1/2019 22:50
64,Category,NULL,N,12,11/1/2019 22:50
64,Other,NULL,N,30,11/1/2019 22:50
64,Homepage,NULL,N,110,11/1/2019 22:50
96,Category,NULL,N,60,11/1/2019 22:50
64,Product,NULL,N,60,11/1/2019 22:51
64,Product,NULL,N,2500,11/1/2019 22:51
34,Product,NULL,N,60,11/1/2019 22:52
24,Other,NULL,N,60,11/1/2019 22:54
81,Checkout,Base,Y,105,11/1/2019 22:55
49,Product,NULL,N,300,11/1/2019 22:57
55,Other,NULL,N,210,11/1/2019 23:00
d9,Category,NULL,N,30,11/1/2019 23:03
8,Other,NULL,N,60,11/1/2019 23:11
8,Product,NULL,N,60,11/1/2019 23:13
35,Other,NULL,N,360,11/1/2019 23:13
e4,Category,NULL,N,30,11/1/2019 23:13
35,Product,NULL,N,60,11/1/2019 23:14
59,Other,NULL,N,290,11/1/2019 23:14
59,Category,NULL,N,594,11/1/2019 23:14
82,Other,NULL,N,120,11/1/2019 23:16
35,Other,NULL,N,60,11/1/2019 23:17
35,Category,NULL,N,120,11/1/2019 23:17
35,Loyalty,Base,Y,60,11/1/2019 23:17
35,Product,NULL,N,60,11/1/2019 23:17
35,Category,NULL,N,30,11/1/2019 23:17
9e,Other,NULL,N,60,11/1/2019 23:17
9,Other,NULL,N,60,11/1/2019 23:20
9,Category,NULL,N,120,11/1/2019 23:20
38,Product,NULL,N,120,11/1/2019 23:21
36,SearchResult,NULL,N,60,11/1/2019 23:22
11,Homepage,NULL,N,60,11/1/2019 23:23
35,Category,NULL,N,80,11/1/2019 23:23
9,Category,NULL,N,110,11/1/2019 23:24
9,Other,NULL,N,60,11/1/2019 23:24
77,Other,NULL,N,60,11/1/2019 23:24
72,Product,NULL,N,90,11/1/2019 23:25
25,Checkout,NULL,N,15,11/1/2019 23:27
a3,Category,NULL,N,150,11/1/2019 23:28
a3,Checkout,Base,Y,10,11/1/2019 23:28
a3,Category,NULL,N,60,11/1/2019 23:29
a3,Product,NULL,N,120,11/1/2019 23:29
a3,Category,NULL,N,1855,11/1/2019 23:29
a3,SearchResult,NULL,N,120,11/1/2019 23:29
a3,Other,NULL,N,60,11/1/2019 23:29
9,Homepage,NULL,N,20,11/1/2019 23:30
9,Other,NULL,N,45,11/1/2019 23:30
a3,Product,NULL,N,300,11/1/2019 23:30
a3,Other,Base,Y,398.8571429,11/1/2019 23:30
a3,Product,NULL,N,60,11/1/2019 23:30
a3,Other,NULL,N,60,11/1/2019 23:30
a3,Product,NULL,N,60,11/1/2019 23:30
a3,Product,NULL,N,2410,11/1/2019 23:30
a3,Category,NULL,N,60,11/1/2019 23:30
a3,Other,Base,Y,375,11/1/2019 23:30
bc,Other,NULL,N,40,11/1/2019 23:31
bc,Other,NULL,N,60,11/1/2019 23:31
bc,Product,NULL,Y,20,11/1/2019 23:31
bc,Cart,NULL,Y,55,11/1/2019 23:31
d9,Other,NULL,N,60,11/1/2019 23:35
2c,Other,NULL,N,60,11/1/2019 23:36
2c,Category,NULL,N,165,11/1/2019 23:37
2c,Product,NULL,N,30,11/1/2019 23:37
a3,Other,Base,Y,100,11/1/2019 23:37
21,Checkout,Base,Y,15,11/1/2019 23:39
c3,SearchResult,NULL,N,12,11/1/2019 23:39
30,Checkout,NULL,N,30,11/1/2019 23:41
7b,Category,NULL,N,60,11/1/2019 23:41
a1,Category,NULL,N,104,11/1/2019 23:43
d0,Product,NULL,N,54,11/1/2019 23:46
d1,Other,NULL,N,190,11/1/2019 23:48
66,Other,NULL,N,60,11/1/2019 23:49
7f,Other,NULL,N,120,11/1/2019 23:49
b6,Product,NULL,N,60,11/1/2019 23:49
b4,Checkout,NULL,N,60,11/1/2019 23:53
2f,Category,NULL,N,60,11/1/2019 23:54
44,Homepage,NULL,N,80,11/1/2019 23:54
0e,Product,NULL,N,60,11/2/2019 0:03
0e,Category,NULL,N,60,11/2/2019 0:03
0e,Product,NULL,N,60,11/2/2019 0:04
0e,Cart,NULL,N,192,11/2/2019 0:04
0e,Category,NULL,N,60,11/2/2019 0:04
0e,Other,NULL,N,60,11/2/2019 0:04
0e,Homepage,Base,Y,7.5,11/2/2019 0:04
0e,Homepage,NULL,N,90,11/2/2019 0:05
0e,Category,NULL,N,90,11/2/2019 0:05
0e,Product,NULL,N,30,11/2/2019 0:06
0e,Product,NULL,N,110,11/2/2019 0:06
a5,Checkout,NULL,N,330,11/2/2019 0:06
a5,Checkout,Base,Y,348,11/2/2019 0:06
b9,Other,NULL,N,285,11/2/2019 0:06
0e,Category,NULL,N,90,11/2/2019 0:07
0e,SearchResult,NULL,N,90,11/2/2019 0:07
0e,Category,NULL,N,60,11/2/2019 0:08
0e,Product,NULL,N,60,11/2/2019 0:08
1,Other,Base,Y,265,11/2/2019 0:09
0e,Homepage,NULL,N,60,11/2/2019 0:09
5,Other,NULL,N,60,11/2/2019 0:10
0e,Category,NULL,N,120,11/2/2019 0:10
39,Checkout,Base,Y,232,11/2/2019 0:10
38,Category,NULL,N,150,11/2/2019 0:12
38,Product,NULL,N,2046,11/2/2019 0:12
39,Homepage,Base,Y,106,11/2/2019 0:12
45,Product,NULL,N,60,11/2/2019 0:13
11,Product,NULL,N,60,11/2/2019 0:16
ae,SearchResult,NULL,N,60,11/2/2019 0:17
d1,Other,NULL,N,60,11/2/2019 0:17
de,Category,NULL,N,30,11/2/2019 0:17
11,Product,NULL,N,60,11/2/2019 0:18
ae,Product,NULL,N,120,11/2/2019 0:18
ae,Other,NULL,N,60,11/2/2019 0:18
de,Category,NULL,N,30,11/2/2019 0:18
76,Homepage,NULL,N,30,11/2/2019 0:19
11,Category,NULL,N,60,11/2/2019 0:20
11,Other,NULL,N,441,11/2/2019 0:21
42,Other,NULL,N,90,11/2/2019 0:21
11,Other,NULL,N,120,11/2/2019 0:22
11,Product,NULL,N,240,11/2/2019 0:22
df,Category,Base,Y,2190,11/2/2019 0:25
47,Category,NULL,N,15,11/2/2019 0:26
47,Product,NULL,N,60,11/2/2019 0:26
df,Product,NULL,N,60,11/2/2019 0:27
c5,Homepage,NULL,N,30,11/2/2019 0:32
c5,Other,NULL,N,60,11/2/2019 0:33
c5,Category,NULL,N,30,11/2/2019 0:34
c5,SearchResult,NULL,N,180,11/2/2019 0:34
c5,Homepage,NULL,N,30,11/2/2019 0:34
c5,Homepage,NULL,N,260,11/2/2019 0:34
c5,Checkout,Base,Y,210,11/2/2019 0:34
c5,Product,NULL,N,60,11/2/2019 0:34
21,Product,NULL,N,300,11/2/2019 0:35
21,Category,NULL,N,60,11/2/2019 0:38
ce,Product,NULL,N,60,11/2/2019 0:40
66,Category,NULL,N,240,11/2/2019 0:42
70,Other,NULL,N,180,11/2/2019 0:42
21,Other,NULL,N,60,11/2/2019 0:43
66,SearchResult,NULL,N,60,11/2/2019 0:43
5f,Category,NULL,N,60,11/2/2019 0:44
ce,Other,NULL,N,120,11/2/2019 0:45
5f,Product,NULL,N,15,11/2/2019 0:46
ce,SearchResult,NULL,N,60,11/2/2019 0:46
13,Other,NULL,N,60,11/2/2019 0:47
ce,Product,NULL,N,60,11/2/2019 0:47
ce,Other,NULL,N,60,11/2/2019 0:47
10,Homepage,NULL,N,20,11/2/2019 0:48
34,Homepage,NULL,N,60,11/2/2019 0:48
4d,Checkout,Base,Y,160,11/2/2019 0:48
d8,Other,NULL,N,770,11/2/2019 0:49
ee,Product,NULL,N,60,11/2/2019 0:49
ee,Category,NULL,N,30,11/2/2019 0:50
ee,Other,Elite,Y,180,11/2/2019 0:50
ef,SearchResult,NULL,N,60,11/2/2019 0:50
1e,Product,NULL,N,120,11/2/2019 0:52
3d,Homepage,NULL,N,110,11/2/2019 0:52
cf,SearchResult,NULL,N,60,11/2/2019 0:52
cf,Category,NULL,N,120,11/2/2019 0:53
cf,Homepage,NULL,N,130,11/2/2019 0:53
cf,Homepage,NULL,N,92,11/2/2019 0:53
1e,Other,NULL,N,60,11/2/2019 0:54
ab,SearchResult,NULL,N,60,11/2/2019 0:58
c7,Product,NULL,N,60,11/2/2019 0:58
c5,Homepage,NULL,N,210,11/2/2019 0:59
c5,Product,NULL,N,15,11/2/2019 0:59
c5,Other,NULL,N,60,11/2/2019 0:59
c5,Homepage,NULL,N,60,11/2/2019 0:59
ce,Category,NULL,N,60,11/2/2019 0:59
ce,Product,NULL,N,60,11/2/2019 0:59
c7,Category,NULL,N,60,11/2/2019 1:00
c7,Homepage,NULL,N,240,11/2/2019 1:00
c7,Product,NULL,N,60,11/2/2019 1:00
c7,Product,NULL,N,180,11/2/2019 1:00
d8,Other,NULL,N,60,11/2/2019 1:00
da,Product,NULL,N,20,11/2/2019 1:00
c7,Other,NULL,N,120,11/2/2019 1:01
c7,Product,NULL,N,30,11/2/2019 1:01
c7,Product,NULL,N,60,11/2/2019 1:01
c8,Other,NULL,N,60,11/2/2019 1:01
d8,Product,NULL,N,150,11/2/2019 1:01
c8,Other,NULL,N,50,11/2/2019 1:02
c8,Category,NULL,N,240,11/2/2019 1:02
d8,Register,Base,Y,330,11/2/2019 1:02
31,Category,NULL,N,60,11/2/2019 1:03
f7,Product,NULL,N,60,11/2/2019 1:03
5f,Other,NULL,N,540,11/2/2019 1:04
af,Category,NULL,N,60,11/2/2019 1:05
c8,Product,NULL,N,60,11/2/2019 1:05
c8,Other,NULL,N,60,11/2/2019 1:05
af,Category,NULL,N,30,11/2/2019 1:06
41,Product,NULL,N,30,11/2/2019 1:07
41,Product,NULL,N,60,11/2/2019 1:07
41,Category,NULL,N,120,11/2/2019 1:08
c8,Other,NULL,N,120,11/2/2019 1:08
c8,Other,NULL,N,60,11/2/2019 1:08
c8,Other,NULL,N,60,11/2/2019 1:10
c8,Product,NULL,N,60,11/2/2019 1:10
c8,Product,NULL,N,30,11/2/2019 1:10
c8,Category,NULL,N,260,11/2/2019 1:11
c8,Homepage,NULL,N,20,11/2/2019 1:11
c8,Other,NULL,N,60,11/2/2019 1:11
c8,Product,NULL,N,60,11/2/2019 1:12
c8,Other,NULL,N,30,11/2/2019 1:12
ce,Other,NULL,N,120,11/2/2019 1:12
8f,Category,NULL,N,30,11/2/2019 1:13
c8,Product,NULL,N,68.57142857,11/2/2019 1:13
c8,Other,NULL,N,60,11/2/2019 1:13
c8,Category,NULL,N,30,11/2/2019 1:13
d2,Product,NULL,N,105,11/2/2019 1:13
ad,Other,NULL,N,60,11/2/2019 1:14
ad,Other,NULL,N,140,11/2/2019 1:14
ad,Category,NULL,N,60,11/2/2019 1:14
ad,Other,NULL,N,1200,11/2/2019 1:14
c8,Category,NULL,N,150,11/2/2019 1:14
ce,Other,Base,Y,260,11/2/2019 1:14
d2,MyAccount,Base,Y,165,11/2/2019 1:14
ad,Product,NULL,N,60,11/2/2019 1:15
c8,Product,NULL,N,60,11/2/2019 1:15
d2,Homepage,NULL,N,240,11/2/2019 1:15
24,Cart,NULL,N,30,11/2/2019 1:23
c4,Category,NULL,N,190,11/2/2019 1:25
d8,Product,NULL,N,60,11/2/2019 1:27
41,Product,NULL,N,40,11/2/2019 1:29
41,Homepage,NULL,N,60,11/2/2019 1:29
eb,SearchResult,NULL,N,360,11/2/2019 1:30
eb,Product,NULL,N,8.571428571,11/2/2019 1:30
ab,Category,NULL,N,20,11/2/2019 1:35
ff,Category,NULL,N,80,11/2/2019 1:40
c4,Other,NULL,N,120,11/2/2019 1:41
49,Category,Base,Y,330,11/2/2019 1:43
9b,Other,Base,Y,1110,11/2/2019 1:50
f2,Other,NULL,N,120,11/2/2019 1:50
9b,Other,NULL,N,1060,11/2/2019 1:51
9b,Homepage,NULL,N,456,11/2/2019 1:51
9b,MyAccount,Base,Y,910,11/2/2019 1:52
97,Category,NULL,N,60,11/2/2019 1:58
97,Checkout,NULL,Y,405,11/2/2019 1:58
97,Category,NULL,N,40,11/2/2019 1:58
c2,Product,NULL,N,20,11/2/2019 2:06
38,Product,NULL,N,60,11/2/2019 2:09
81,Homepage,NULL,N,60,11/2/2019 2:24
